sample_id,query,asv_read_index,asv_read_raw,asv_pa,kingdom,metazoa_terrestrial
GH001,ASV504,0,0,0,Metazoa,0
GH001,ASV505,0,0,0,Metazoa,0
GH001,ASV506,0,0,0,Metazoa,0
GH001,ASV507,0,0,0,Metazoa,0
GH001,ASV508,0,0,0,Metazoa,0
GH001,ASV509,0,0,0,Metazoa,0
GH001,ASV510,0,0,0,Metazoa,0
GH001,ASV511,0,0,0,Metazoa,0
GH001,ASV512,0,0,0,Metazoa,0
GH001,ASV513,0,0,0,Metazoa,0
GH001,ASV514,0,0,0,Metazoa,0
GH001,ASV515,0,0,0,Metazoa,0
GH001,ASV516,0,0,0,Metazoa,0
GH001,ASV517,0,0,0,Metazoa,0
GH001,ASV518,0,0,0,Metazoa,0
GH001,ASV520,0,0,0,Metazoa,0
GH001,ASV522,0,0,0,Metazoa,0
GH001,ASV523,0,0,0,Metazoa,0
GH001,ASV524,0,0,0,Metazoa,0
GH001,ASV525,0,0,0,NA,0
GH001,ASV526,0,0,0,Metazoa,0
GH001,ASV527,0,0,0,Metazoa,0
GH001,ASV528,0,0,0,Metazoa,0
GH001,ASV529,0,0,0,Metazoa,0
GH001,ASV530,0,0,0,Metazoa,0
GH001,ASV531,0,0,0,Metazoa,0
GH001,ASV532,0,0,0,Metazoa,0
GH001,ASV533,0,0,0,Metazoa,0
GH001,ASV534,0,0,0,Metazoa,0
GH001,ASV535,0,0,0,Metazoa,0
GH001,ASV536,0,0,0,Metazoa,0
GH001,ASV537,0,0,0,Metazoa,0
GH001,ASV538,0,0,0,Metazoa,1
GH001,ASV539,0,0,0,Metazoa,0
GH001,ASV540,0,0,0,Metazoa,0
GH001,ASV541,0,0,0,Metazoa,0
GH001,ASV542,0,0,0,Metazoa,0
GH001,ASV543,0,0,0,Metazoa,0
GH001,ASV544,0,0,0,Metazoa,0
GH001,ASV545,0,0,0,Metazoa,1
GH001,ASV546,0,0,0,Metazoa,0
GH001,ASV547,0,0,0,Metazoa,0
GH001,ASV548,0,0,0,Metazoa,0
GH001,ASV549,0,0,0,Metazoa,0
GH001,ASV550,0,0,0,Metazoa,0
GH001,ASV551,0,0,0,Metazoa,0
GH001,ASV552,0,0,0,Chromista,0
GH001,ASV553,0,0,0,Metazoa,0
GH001,ASV554,0,0,0,Metazoa,1
GH001,ASV555,0,0,0,Metazoa,0
GH001,ASV556,0,0,0,Metazoa,0
GH001,ASV557,0,0,0,Metazoa,0
GH001,ASV558,0,0,0,Metazoa,0
GH001,ASV559,0,0,0,Metazoa,0
GH001,ASV560,0,0,0,Metazoa,0
GH001,ASV561,0,0,0,Metazoa,0
GH001,ASV562,0,0,0,Metazoa,0
GH001,ASV563,0,0,0,Metazoa,0
GH001,ASV564,0,0,0,Metazoa,0
GH001,ASV565,0,0,0,Metazoa,0
GH001,ASV566,0,0,0,Metazoa,0
GH001,ASV567,0,0,0,Metazoa,0
GH001,ASV568,0,0,0,Metazoa,0
GH001,ASV569,0,0,0,Metazoa,0
GH001,ASV570,0,0,0,Metazoa,0
GH001,ASV571,0,0,0,Metazoa,0
GH001,ASV572,0,0,0,Metazoa,0
GH001,ASV573,0,0,0,Metazoa,0
GH001,ASV574,0,0,0,Metazoa,0
GH001,ASV575,0,0,0,Metazoa,0
GH001,ASV576,0,0,0,Metazoa,0
GH001,ASV577,0,0,0,Metazoa,0
GH001,ASV578,0,0,0,NA,0
GH001,ASV579,0,0,0,Metazoa,0
GH001,ASV580,0,0,0,Metazoa,0
GH001,ASV581,0,0,0,Metazoa,0
GH001,ASV582,0,0,0,Metazoa,0
GH001,ASV583,0,0,0,Metazoa,0
GH001,ASV584,0,0,0,Metazoa,0
GH001,ASV585,0,0,0,Metazoa,0
GH001,ASV586,0,0,0,Metazoa,0
GH001,ASV587,0,0,0,Metazoa,0
GH001,ASV588,0,0,0,Metazoa,0
GH001,ASV589,0,0,0,Metazoa,0
GH001,ASV590,0,0,0,Metazoa,1
GH001,ASV591,0,0,0,Metazoa,1
GH001,ASV592,0,0,0,NA,1
GH001,ASV593,0,0,0,Chromista,1
GH001,ASV594,0,0,0,Metazoa,1
GH001,ASV595,0,0,0,Metazoa,1
GH001,ASV596,0,0,0,Metazoa,1
